repo_full_name,url,filename
ropensci/hydroscoper,https://github.com/ropensci/hydroscoper,codemeta.json
rOpenSpain/climaemet,https://github.com/rOpenSpain/climaemet,codemeta.json
EcoJulia/Diversity.jl,https://github.com/EcoJulia/Diversity.jl,codemeta.json
lbbe-software/seqinr,https://github.com/lbbe-software/seqinr,codemeta.json
ropensci/rvertnet,https://github.com/ropensci/rvertnet,codemeta.json
mpound/pdrtpy,https://github.com/mpound/pdrtpy,codemeta.json
janelia-kicad/trinamic-wiring,https://github.com/janelia-kicad/trinamic-wiring,codemeta.json
fran2410/AI-Open-Science,https://github.com/fran2410/AI-Open-Science,codemeta.json
JeffreyRStevens/ncaavolleyballr,https://github.com/JeffreyRStevens/ncaavolleyballr,codemeta.json
ropensci/fellingdater,https://github.com/ropensci/fellingdater,codemeta.json
KaiAragaki/reclanc,https://github.com/KaiAragaki/reclanc,codemeta.json
zbmed-semtec/doc2vec-doc-relevance,https://github.com/zbmed-semtec/doc2vec-doc-relevance,codemeta.json
JSadowska/testLille,https://github.com/JSadowska/testLille,codemeta.json
inbo/archivaltag,https://github.com/inbo/archivaltag,codemeta.json
fmyuan/E3SM,https://github.com/fmyuan/E3SM,codemeta.json
jorgesaenzdemiera/OpenScienceIndividual,https://github.com/jorgesaenzdemiera/OpenScienceIndividual,Codemeta.json
wlandau/crew,https://github.com/wlandau/crew,codemeta.json
caltechlibrary/codemeta-pandoc-examples,https://github.com/caltechlibrary/codemeta-pandoc-examples,codemeta.json
koenniem/mpathsenser,https://github.com/koenniem/mpathsenser,codemeta.json
ropensci/daiquiri,https://github.com/ropensci/daiquiri,codemeta.json
moranegg/deposit-template,https://github.com/moranegg/deposit-template,codemeta.json
PyFstat/PyFstat,https://github.com/PyFstat/PyFstat,codemeta.json
ropensci/dwctaxon,https://github.com/ropensci/dwctaxon,codemeta.json
AI-READI/schemas,https://github.com/AI-READI/schemas,codemeta.json
hpc-maths/samurai,https://github.com/hpc-maths/samurai,codemeta.json
pachadotdev/analogsea,https://github.com/pachadotdev/analogsea,codemeta.json
caltechlibrary/caltechdata,https://github.com/caltechlibrary/caltechdata,codemeta.json
dmgordo/relative-difference-sets,https://github.com/dmgordo/relative-difference-sets,codemeta.json
ropensci-review-tools/dashboard,https://github.com/ropensci-review-tools/dashboard,codemeta.json
dankelley/whalestrike,https://github.com/dankelley/whalestrike,codemeta.json
ropensci/osmplotr,https://github.com/ropensci/osmplotr,codemeta.json
MiguelRodo/DemProjrDebug,https://github.com/MiguelRodo/DemProjrDebug,codemeta.json
lifewatch/eva,https://github.com/lifewatch/eva,codemeta.json
Jluo1030/getdist,https://github.com/Jluo1030/getdist,codemeta.json
caltechlibrary/logagent,https://github.com/caltechlibrary/logagent,codemeta.json
rmgpanw/ukbwranglr,https://github.com/rmgpanw/ukbwranglr,codemeta.json
Lukas-Novak/psychtoolbox,https://github.com/Lukas-Novak/psychtoolbox,codemeta.json
caltechlibrary/dataciteapi,https://github.com/caltechlibrary/dataciteapi,codemeta.json
SATVILab/projr,https://github.com/SATVILab/projr,codemeta.json
benjiche/Plagiator-bch,https://github.com/benjiche/Plagiator-bch,codemeta.json
proycon/colloquery,https://github.com/proycon/colloquery,codemeta.json
proycon/oersetter-webservice,https://github.com/proycon/oersetter-webservice,codemeta.json
JordanIschard/DeBrLevel,https://github.com/JordanIschard/DeBrLevel,codemeta.json
j-faria/kima,https://github.com/j-faria/kima,codemeta.json
bcm-uga/hdmax2,https://github.com/bcm-uga/hdmax2,codemeta.json
ropensci/epubr,https://github.com/ropensci/epubr,codemeta.json
fchuffar/dmethr,https://github.com/fchuffar/dmethr,codemeta.json
cau-se/theodolite,https://github.com/cau-se/theodolite,codemeta.json
ropensci/Rpolyhedra,https://github.com/ropensci/Rpolyhedra,codemeta.json
Craig-PT/tsgc,https://github.com/Craig-PT/tsgc,codemeta.json
vuillaut/sandbox,https://github.com/vuillaut/sandbox,codemeta.json
MrGG14/Electricity-Price-Forecast-TFT,https://github.com/MrGG14/Electricity-Price-Forecast-TFT,Codemeta.json
NVlabs/E3SM,https://github.com/NVlabs/E3SM,codemeta.json
mlr-org/mcboost,https://github.com/mlr-org/mcboost,codemeta.json
CCSDForge/episciences,https://github.com/CCSDForge/episciences,codemeta.json
kguidonimartins/misc,https://github.com/kguidonimartins/misc,codemeta.json
brightway-lca/brightway2,https://github.com/brightway-lca/brightway2,codemeta.json
ropensci/riem,https://github.com/ropensci/riem,codemeta.json
CLARIAH/burgerLinker,https://github.com/CLARIAH/burgerLinker,codemeta.json
fusion-jena/XSearchKG,https://github.com/fusion-jena/XSearchKG,codemeta.json
amasson84/costcalc,https://github.com/amasson84/costcalc,CODEMETA.json
ropensci/baRulho,https://github.com/ropensci/baRulho,codemeta.json
pat-s/oddsratio,https://github.com/pat-s/oddsratio,codemeta.json
ropensci/tic,https://github.com/ropensci/tic,codemeta.json
giscience-fsu/sperrorest,https://github.com/giscience-fsu/sperrorest,codemeta.json
fairdataihub/FAIR-AMD-OCT-paper-code,https://github.com/fairdataihub/FAIR-AMD-OCT-paper-code,codemeta.json
ropensci/DataPackageR,https://github.com/ropensci/DataPackageR,codemeta.json
ropensci/melt,https://github.com/ropensci/melt,codemeta.json
ropensci/rerddap,https://github.com/ropensci/rerddap,codemeta.json
stain/signposting,https://github.com/stain/signposting,codemeta.json
matthiasprobst/ssnolib,https://github.com/matthiasprobst/ssnolib,codemeta.json
ropensci/crul,https://github.com/ropensci/crul,codemeta.json
kjgarza/parrot_gpt,https://github.com/kjgarza/parrot_gpt,codemeta.json
ropensci/tiler,https://github.com/ropensci/tiler,codemeta.json
tesselle/kairos,https://github.com/tesselle/kairos,codemeta.json
Parsl/parsl,https://github.com/Parsl/parsl,codemeta.json
parham075/TextSummerizer-NLP,https://github.com/parham075/TextSummerizer-NLP,codemeta.json
jamestsakalos/climenv,https://github.com/jamestsakalos/climenv,codemeta.json
FRBCesab/rdeps,https://github.com/FRBCesab/rdeps,codemeta.json
interTwin-eu/dcnios,https://github.com/interTwin-eu/dcnios,codemeta.json
ropensci/phruta,https://github.com/ropensci/phruta,codemeta.json
adrijmz/os_group_project,https://github.com/adrijmz/os_group_project,codemeta.json
caltechlibrary/ts_dataset,https://github.com/caltechlibrary/ts_dataset,codemeta.json
janelia-kicad/mouse_joystick_controller,https://github.com/janelia-kicad/mouse_joystick_controller,codemeta.json
janelia-kicad/mouse-joystick-pcb,https://github.com/janelia-kicad/mouse-joystick-pcb,codemeta.json
iPoetDev/template-guided-projects,https://github.com/iPoetDev/template-guided-projects,codemeta.json
ropensci/osmapiR,https://github.com/ropensci/osmapiR,codemeta.json
ropensci/mauricer,https://github.com/ropensci/mauricer,codemeta.json
ropensci/mcbette,https://github.com/ropensci/mcbette,codemeta.json
ajpelu/likelihoodTools,https://github.com/ajpelu/likelihoodTools,codemeta.json
Infineon/StreamGen,https://github.com/Infineon/StreamGen,codemeta.json
bojanakoteska/SchrodingerAPI,https://github.com/bojanakoteska/SchrodingerAPI,codemeta.json
luca-giunti/gammapyXray,https://github.com/luca-giunti/gammapyXray,codemeta.json
paramm-team/pybamm-param,https://github.com/paramm-team/pybamm-param,codemeta.json
EDIorg/ecocomDP,https://github.com/EDIorg/ecocomDP,codemeta.json
Raaquel09/IAGrupoOptativa,https://github.com/Raaquel09/IAGrupoOptativa,codemeta.json
hykelvinlee42/RRLeo-Photometry,https://github.com/hykelvinlee42/RRLeo-Photometry,codemeta.json
llrs/experDesign,https://github.com/llrs/experDesign,codemeta.json
