Repo,URL,File
caltechlibrary/CL-web-components,https://github.com/caltechlibrary/CL-web-components,codemeta.json
amit-dingare/Clustering_Demo,https://github.com/amit-dingare/Clustering_Demo,codemeta.json
FFTW/fftw3,https://github.com/FFTW/fftw3,codemeta.json
proycon/aNtiLoPe,https://github.com/proycon/aNtiLoPe,codemeta.json
gbv/cocoda,https://github.com/gbv/cocoda,codemeta.json
inbo/fistools,https://github.com/inbo/fistools,codemeta.json
explore-platform/metadata,https://github.com/explore-platform/metadata,codemeta.json
crosscite/content-negotiation,https://github.com/crosscite/content-negotiation,codemeta.json
CLARIAH/dane-object-classification-worker,https://github.com/CLARIAH/dane-object-classification-worker,codemeta.json
b-cubed-eu/pdindicatoR,https://github.com/b-cubed-eu/pdindicatoR,codemeta.json
darribas/gds18,https://github.com/darribas/gds18,codemeta.json
FZJ-INM1-BDA/siibra-explorer,https://github.com/FZJ-INM1-BDA/siibra-explorer,codemeta.json
robbriers/uklakes,https://github.com/robbriers/uklakes,codemeta.json
edamontology/edam-browser,https://github.com/edamontology/edam-browser,codemeta.json
damien-pous/relation-algebra,https://github.com/damien-pous/relation-algebra,CodeMeta.json
epinowcast/baselinenowcast-paper,https://github.com/epinowcast/baselinenowcast-paper,codemeta.json
e-p-metzner/ARTmie,https://github.com/e-p-metzner/ARTmie,codemeta.json
fairdataihub/codefair-docs,https://github.com/fairdataihub/codefair-docs,codemeta.json
eliemichel/GrainViewer,https://github.com/eliemichel/GrainViewer,codemeta.json
AI-READI/aireadi.org,https://github.com/AI-READI/aireadi.org,codemeta.json
dylan-turner25/rfcip,https://github.com/dylan-turner25/rfcip,codemeta.json
ropensci/mbquartR,https://github.com/ropensci/mbquartR,codemeta.json
ybarborini/jdev-t5A02,https://github.com/ybarborini/jdev-t5A02,codemeta.json
cjyetman/network.r2d3,https://github.com/cjyetman/network.r2d3,codemeta.json
ybarborini/HALSync-script,https://github.com/ybarborini/HALSync-script,codemeta.json
FlowmapBlue/flowmapblue.R,https://github.com/FlowmapBlue/flowmapblue.R,codemeta.json
ropensci/slopes,https://github.com/ropensci/slopes,codemeta.json
cienciadedatos/datos,https://github.com/cienciadedatos/datos,codemeta.json
jsphdms/runchart,https://github.com/jsphdms/runchart,codemeta.json
Wimmics/KartoGraphI,https://github.com/Wimmics/KartoGraphI,codemeta.json
nest/nestml,https://github.com/nest/nestml,codemeta.json
neuronsimulator/nrn,https://github.com/neuronsimulator/nrn,codemeta.json
SebKrantz/dfms,https://github.com/SebKrantz/dfms,codemeta.json
ropensci/gitignore,https://github.com/ropensci/gitignore,codemeta.json
CLARIAH/burgerLinker,https://github.com/CLARIAH/burgerLinker,codemeta.json
wtraylor/modular_megafauna_model,https://github.com/wtraylor/modular_megafauna_model,codemeta.json
ypwong22/ELM_SPRUCE,https://github.com/ypwong22/ELM_SPRUCE,codemeta.json
neuromorphic-polito/snn4csp,https://github.com/neuromorphic-polito/snn4csp,codemeta.json
brian-team/brian2,https://github.com/brian-team/brian2,codemeta.json
bluegreen-labs/phenor,https://github.com/bluegreen-labs/phenor,codemeta.json
janelia-kicad/cluster-pcb,https://github.com/janelia-kicad/cluster-pcb,codemeta.json
ropensci/rgbif,https://github.com/ropensci/rgbif,codemeta.json
ropensci/getCRUCLdata,https://github.com/ropensci/getCRUCLdata,codemeta.json
UrbanAnalyst/gtfsrouter,https://github.com/UrbanAnalyst/gtfsrouter,codemeta.json
EcoJulia/EcoSISTEM.jl,https://github.com/EcoJulia/EcoSISTEM.jl,codemeta.json
ropensci/rredlist,https://github.com/ropensci/rredlist,codemeta.json
ropensci/hydroscoper,https://github.com/ropensci/hydroscoper,codemeta.json
rOpenSpain/climaemet,https://github.com/rOpenSpain/climaemet,codemeta.json
lbbe-software/seqinr,https://github.com/lbbe-software/seqinr,codemeta.json
ropensci/rvertnet,https://github.com/ropensci/rvertnet,codemeta.json
mpound/pdrtpy,https://github.com/mpound/pdrtpy,codemeta.json
janelia-kicad/trinamic-wiring,https://github.com/janelia-kicad/trinamic-wiring,codemeta.json
fran2410/AI-Open-Science,https://github.com/fran2410/AI-Open-Science,codemeta.json
JeffreyRStevens/ncaavolleyballr,https://github.com/JeffreyRStevens/ncaavolleyballr,codemeta.json
KaiAragaki/reclanc,https://github.com/KaiAragaki/reclanc,codemeta.json
ropensci/fellingdater,https://github.com/ropensci/fellingdater,codemeta.json
JSadowska/testLille,https://github.com/JSadowska/testLille,codemeta.json
inbo/archivaltag,https://github.com/inbo/archivaltag,codemeta.json
AlbanSagouis/nossaflex,https://github.com/AlbanSagouis/nossaflex,codemeta.json
Zink-Antoine/Gum.Output,https://github.com/Zink-Antoine/Gum.Output,codemeta.json
ropensci/parzer,https://github.com/ropensci/parzer,codemeta.json
caltechlibrary/caltechthesis,https://github.com/caltechlibrary/caltechthesis,codemeta.json
super-lou/MAKAHO,https://github.com/super-lou/MAKAHO,codemeta.json
rug-compling/alud,https://github.com/rug-compling/alud,codemeta.json
markolalovic/latent2likert,https://github.com/markolalovic/latent2likert,codemeta.json
caltechlibrary/persistent_url_resolver,https://github.com/caltechlibrary/persistent_url_resolver,codemeta.json
ropensci/beastier,https://github.com/ropensci/beastier,codemeta.json
peterpolidoro/biym-board,https://github.com/peterpolidoro/biym-board,codemeta.json
m-team-kit/mlflow-auth-gui,https://github.com/m-team-kit/mlflow-auth-gui,codemeta.json
donomii/quon-jupyter,https://github.com/donomii/quon-jupyter,codemeta.json
ropensci/wdman,https://github.com/ropensci/wdman,codemeta.json
matthiasprobst/h5RDMtoolbox,https://github.com/matthiasprobst/h5RDMtoolbox,codemeta.json
datacite/maremma,https://github.com/datacite/maremma,codemeta.json
datacite/bracco,https://github.com/datacite/bracco,codemeta.json
fchuffar/protopackage,https://github.com/fchuffar/protopackage,codemeta.json
frmichel/sparql-micro-service,https://github.com/frmichel/sparql-micro-service,codemeta.json
ashbythorpe/selenium-r,https://github.com/ashbythorpe/selenium-r,codemeta.json
cboettig/knitcitations,https://github.com/cboettig/knitcitations,codemeta.json
fair-test/yes-yes-yes,https://github.com/fair-test/yes-yes-yes,codemeta.json
thelfer/MFrontGenericInterfaceSupport,https://github.com/thelfer/MFrontGenericInterfaceSupport,codemeta.json
caltechlibrary/simplified,https://github.com/caltechlibrary/simplified,codemeta.json
msperlin/GetTDData,https://github.com/msperlin/GetTDData,codemeta.json
cacoco/codemetagenerator,https://github.com/cacoco/codemetagenerator,codemeta.json
mpadge/calcurseR,https://github.com/mpadge/calcurseR,codemeta.json
CLARIAH/COW,https://github.com/CLARIAH/COW,codemeta.json
stencila/jesta,https://github.com/stencila/jesta,codemeta.json
mnr/rpigpior,https://github.com/mnr/rpigpior,codemeta.json
rug-compling/alpinograph,https://github.com/rug-compling/alpinograph,codemeta.json
